published_date,bestsellers_date,list_name,title,author,primary_isbn13,publisher,rank,rank_last_week,weeks_on_list,amazon_product_url,book_image,description
2025-08-03,2025-07-19,Hardcover Fiction,THE IRRESISTIBLE URGE TO FALL FOR YOUR ENEMY,Brigitte Knightley,9780593819456,Ace,15,2,2,https://www.amazon.com/dp/0593819454?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593819456.jpg,Aurienne Fairhrim accepts an offer to heal a member of an enemy faction and an attraction develops.
2025-08-10,2025-07-26,Hardcover Fiction,NOT QUITE DEAD YET,Holly Jackson,9780593977057,Bantam,1,0,1,https://www.amazon.com/dp/059397705X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593977057.jpg,"With only a week left to live after a violent attack on Halloween, Jet Mason is determined to solve her own murder."
2025-08-10,2025-07-26,Hardcover Fiction,THE HAMPTONS LAWYER,James Patterson and Mike Lupica,9780316569934,"Little, Brown",2,0,1,https://www.amazon.com/dp/0316569933?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780316569934.jpg,The third book in the Jane Smith thriller series. Taking on a celebrity client proves dangerous.
2025-08-10,2025-07-26,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,3,4,8,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-08-10,2025-07-26,Hardcover Fiction,THE ENCHANTED GREENHOUSE,Sarah Beth Durst,9781250333988,Bramble,4,2,2,https://www.amazon.com/dp/1250333989?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250333988.jpg,"In this novel set in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
2025-08-10,2025-07-26,Hardcover Fiction,ARCANA ACADEMY,Elise Kova,9780593726341,Del Rey,5,0,1,https://www.amazon.com/dp/B0DHZ2H4Z5?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593726341.jpg,"To get out of prison, Clara Graysword makes a deal with the headmaster of the Arcana Academy to help him steal a tarot card from the king."
2025-08-10,2025-07-26,Hardcover Fiction,AN INSIDE JOB,Daniel Silva,9780063384217,Harper,6,1,2,https://www.amazon.com/dp/0063384213?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780063384217.jpg,"The 25th book in the Gabriel Allon series. The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
2025-08-10,2025-07-26,Hardcover Fiction,ONYX STORM,Rebecca Yarros,9781649377159,Red Tower,7,9,27,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649377159.jpg,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-08-10,2025-07-26,Hardcover Fiction,NEVER FLINCH,Stephen King,9781668089330,Scribner,8,7,9,https://www.amazon.com/dp/1668089335?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668089330.jpg,Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.
2025-08-10,2025-07-26,Hardcover Fiction,THE WEDDING PEOPLE,Alison Espach,9781250899576,Holt,9,6,34,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250899576.jpg,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.
2025-08-10,2025-07-26,Hardcover Fiction,MY FRIENDS,Fredrik Backman,9781982112820,Atria,10,11,12,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781982112820.jpg,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.
2025-08-10,2025-07-26,Hardcover Fiction,BROKEN COUNTRY,Clare Leslie Hall,9781668078181,Simon & Schuster,11,12,18,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668078181.jpg,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.
2025-08-10,2025-07-26,Hardcover Fiction,GREAT BIG BEAUTIFUL LIFE,Emily Henry,9780593441299,Berkley,12,14,14,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593441299.jpg,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.
2025-08-10,2025-07-26,Hardcover Fiction,ROSE IN CHAINS,Julie Soto,9781538771228,Forever,13,5,3,https://www.amazon.com/dp/1538771225?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781538771228.jpg,"After the dark forces win the war, Evermore's princess, Briony Rosewood, is auctioned off to a member of a family known for its viciousness."
2025-08-10,2025-07-26,Hardcover Fiction,THE WOMAN IN SUITE 11,Ruth Ware,9781668025628,Gallery/Scout,14,10,3,https://www.amazon.com/dp/1668025620?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668025628.jpg,The second book in the Lo Blacklock series. Blacklock attends the opening of a luxury Swiss hotel and gets swept up in a dangerous pursuit across Europe.
2025-08-10,2025-07-26,Hardcover Fiction,JAMES,Percival Everett,9780385550369,Doubleday,15,0,50,https://www.amazon.com/dp/0385550367?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780385550369.jpg,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim."
2025-08-17,2025-08-02,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,1,3,9,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-08-17,2025-08-02,Hardcover Fiction,NOT QUITE DEAD YET,Holly Jackson,9780593977057,Bantam,2,1,2,https://www.amazon.com/dp/059397705X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593977057.jpg,"With only a week left to live after a violent attack on Halloween, Jet Mason is determined to solve her own murder."
2025-08-17,2025-08-02,Hardcover Fiction,SHE DIDN'T SEE IT COMING,Shari Lapena,9780593832448,Pamela Dorman,3,0,1,https://www.amazon.com/dp/0593832442?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593832448.jpg,Suspicions arise when Bryden seems to have disappeared from her luxury condo building without any of her belongings.
